[4065]: {'stabilizer.yaw': 0.005620809271931648, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 299.0, 'hotpatch.context_switches': 17997.0, 'hotpatch.measure_time': 4605630.0}
[4075]: {'stabilizer.yaw': 0.006488662213087082, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 300.0, 'hotpatch.context_switches': 18086.0, 'hotpatch.measure_time': 4628540.0}
[4085]: {'stabilizer.yaw': 0.006465217564254999, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 301.0, 'hotpatch.context_switches': 18177.0, 'hotpatch.measure_time': 4651944.0}
[4095]: {'stabilizer.yaw': 0.005501596722751856, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 302.0, 'hotpatch.context_switches': 18266.0, 'hotpatch.measure_time': 4674854.0}
[4105]: {'stabilizer.yaw': 0.005130009260028601, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 303.0, 'hotpatch.context_switches': 18359.0, 'hotpatch.measure_time': 4698757.0}
[4115]: {'stabilizer.yaw': 0.0049119614996016026, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 304.0, 'hotpatch.context_switches': 18448.0, 'hotpatch.measure_time': 4721669.0}
[4125]: {'stabilizer.yaw': 0.00514162378385663, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 305.0, 'hotpatch.context_switches': 18539.0, 'hotpatch.measure_time': 4745074.0}
[4135]: {'stabilizer.yaw': 0.0046930802054703236, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 306.0, 'hotpatch.context_switches': 18629.0, 'hotpatch.measure_time': 4768242.0}
[4145]: {'stabilizer.yaw': 0.005236937198787928, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 307.0, 'hotpatch.context_switches': 18720.0, 'hotpatch.measure_time': 4791649.0}
[4155]: {'stabilizer.yaw': 0.005852316971868277, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 308.0, 'hotpatch.context_switches': 18809.0, 'hotpatch.measure_time': 4814559.0}
[4165]: {'stabilizer.yaw': 0.006325558293610811, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 309.0, 'hotpatch.context_switches': 18900.0, 'hotpatch.measure_time': 4837966.0}
[4175]: {'stabilizer.yaw': 0.006396259181201458, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 310.0, 'hotpatch.context_switches': 18989.0, 'hotpatch.measure_time': 4860876.0}
[4185]: {'stabilizer.yaw': 0.005592827685177326, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 311.0, 'hotpatch.context_switches': 19080.0, 'hotpatch.measure_time': 4884280.0}
[4195]: {'stabilizer.yaw': 0.005678579211235046, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 312.0, 'hotpatch.context_switches': 19169.0, 'hotpatch.measure_time': 4907189.0}
[4205]: {'stabilizer.yaw': 0.005942588206380606, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 313.0, 'hotpatch.context_switches': 19262.0, 'hotpatch.measure_time': 4931122.0}
[4215]: {'stabilizer.yaw': 0.006737260613590479, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 314.0, 'hotpatch.context_switches': 19351.0, 'hotpatch.measure_time': 4954004.0}
[4225]: {'stabilizer.yaw': 0.005564930383116007, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 315.0, 'hotpatch.context_switches': 19442.0, 'hotpatch.measure_time': 4977372.0}
[4235]: {'stabilizer.yaw': 0.005979821551591158, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 316.0, 'hotpatch.context_switches': 19532.0, 'hotpatch.measure_time': 5000527.0}
[4245]: {'stabilizer.yaw': 0.005650528706610203, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 317.0, 'hotpatch.context_switches': 19623.0, 'hotpatch.measure_time': 5023910.0}
[4255]: {'stabilizer.yaw': 0.007610938977450132, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 318.0, 'hotpatch.context_switches': 19711.0, 'hotpatch.measure_time': 5046560.0}
[4265]: {'stabilizer.yaw': 0.00785521138459444, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 319.0, 'hotpatch.context_switches': 19801.0, 'hotpatch.measure_time': 5069728.0}
[4275]: {'stabilizer.yaw': 0.007866661995649338, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 320.0, 'hotpatch.context_switches': 19889.0, 'hotpatch.measure_time': 5092361.0}
[4285]: {'stabilizer.yaw': 0.009062133729457855, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 321.0, 'hotpatch.context_switches': 19979.0, 'hotpatch.measure_time': 5115490.0}
